,name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
80,Tongi Tongi - Club Mix,Anup Rubens,https://open.spotify.com/embed/track/3mwlVpUUuNebh4rXNBJUsq?utm_source=generator,0.737,0.0365,0.157,0.6828272594534999,0.076,energetic
81,Bujji Bangaram,Chaitan Bharadwaj,https://open.spotify.com/embed/track/1Y5lew9Z79LKXNLO4vEeHe?utm_source=generator,0.67,0.592,0.15,0.7207902500074497,0.129,romantic
82,Zum Zumare,Chakri,https://open.spotify.com/embed/track/18S1e0e6vRATQTkAM7REMl?utm_source=generator,0.723,0.0221,0.0419,0.7694210196966537,0.0612,energetic
83,Korukku Tinavayyo,Sri Venkat,https://open.spotify.com/embed/track/061jTp5unTfEW9Qy30y83q?utm_source=generator,0.758,0.342,0.078,0.8294049286331535,0.177,romantic
84,Chali Chaliga,Devi Sri Prasad,https://open.spotify.com/embed/track/0JLLcOdBUKfDtzY0seXQHC?utm_source=generator,0.711,0.634,0.153,0.7915313328764266,0.0527,romantic
85,"Panchathantram Title Song (From ""Panchathantram"")",Kala Bhairava,https://open.spotify.com/embed/track/2jyQWap4OXmi73y2txHo1g?utm_source=generator,0.623,0.509,0.0763,0.7490092076641139,0.0416,romantic
86,Inka Edho,G. V. Prakash,https://open.spotify.com/embed/track/0WM0NpFIZg6JhgneUyU5tl?utm_source=generator,0.64,0.333,0.188,0.7685270717244257,0.0314,romantic
87,Neevenaa,Divya Kumar,https://open.spotify.com/embed/track/2rb1dCqdWF3OOI0Ve8nHhj?utm_source=generator,0.63,0.42,0.0891,0.5965612801334963,0.0314,romantic
88,Ravi Chettu Ragalu,Charan Arjun,https://open.spotify.com/embed/track/1tKr9vJQmYzmlARqotAR2N?utm_source=generator,0.878,0.627,0.0657,0.7788074734050479,0.154,romantic
89,Priyathama,R. P. Patnaik,https://open.spotify.com/embed/track/7FA4sbYRTkyYqx8MDUlVq4?utm_source=generator,0.691,0.128,0.205,0.8202866593164277,0.144,energetic
90,"Gokula Krishna (From ""Gokulamlo Seetha"")",S. P. Balasubrahmanyam,https://open.spotify.com/embed/track/52lJ7xfGKBBs1FB26yvtbZ?utm_source=generator,0.723,0.742,0.0879,0.6311272683929796,0.0889,Chill
91,Jingi Chika,Various Artists,https://open.spotify.com/embed/track/2wptn2OoH6Amv96LM7Es70?utm_source=generator,0.928,0.404,0.062,0.771566494830001,0.161,romantic
92,Bham Bham Bole,Mani Sharma,https://open.spotify.com/embed/track/5wVTrHzxbqQwaU03EZYlV3?utm_source=generator,0.692,0.358,0.156,0.6724872612413958,0.238,romantic
93,Nadaka Chuste Vayyaram,R. P. Patnaik,https://open.spotify.com/embed/track/4dFmgD6DtPLxdMRHLWqbma?utm_source=generator,0.489,0.117,0.344,0.6998122709258321,0.203,energetic
94,Nuvvaitavra Langa,"Sunil Kashyap, Rahul Sipligunj",https://open.spotify.com/embed/track/7mxaUahMtuvQFC67hms36X?utm_source=generator,0.876,0.0527,0.108,0.8682320688935904,0.0413,energetic
95,Tharagathi Gadhi - Telugu,Kala Bhairava,https://open.spotify.com/embed/track/7El6rXuDiiMNreCDv5QKBD?utm_source=generator,0.583,0.628,0.0941,0.7695402127596174,0.0378,romantic
96,Endaro Mahanubhavulu,Uthara Unnikrishnan,https://open.spotify.com/embed/track/23zp7tPvDshEibnZh9PmOo?utm_source=generator,0.513,0.902,0.0724,0.7269584910158229,0.0486,Chill
97,Cheliya,Devi Sri Prasad,https://open.spotify.com/embed/track/4TzigAgik8j6HvdTGWHOW3?utm_source=generator,0.669,0.0626,0.106,0.7704043624661046,0.0435,energetic
98,Ammi Olammi Tikkaregindha,K. Chakravarthy,https://open.spotify.com/embed/track/4hKqv6uA4glLtPMddFHyQj?utm_source=generator,0.473,0.938,0.464,0.9195446824994784,0.252,Chill
99,Daakko Daakko Meka,Devi Sri Prasad,https://open.spotify.com/embed/track/3WJiyfCnt41lWPRBJpP0ZI?utm_source=generator,0.943,0.17,0.0977,0.7256771655889628,0.0848,energetic
100,Rathraina,Mani Sharma,https://open.spotify.com/embed/track/19b4lMf5AD4IQlutDKRvpZ?utm_source=generator,0.892,0.145,0.0943,0.7851247057421258,0.125,energetic
101,Janapadam Song,Mangli,https://open.spotify.com/embed/track/4TRbgnlo77mN3GjP6mDiC1?utm_source=generator,0.668,0.235,0.0788,0.8365565124109777,0.0522,energetic
102,Yenno Yenno,Achu,https://open.spotify.com/embed/track/6XbyfrUBZ3e6V8sGAP3dH8?utm_source=generator,0.856,0.33,0.0624,0.8588754134509372,0.037,energetic
103,Olammi,Thaman S,https://open.spotify.com/embed/track/6HjSQWpCDylDfrfe0I4KXF?utm_source=generator,0.764,0.518,0.125,0.6212342441669896,0.188,romantic
104,Yerani Kurradani,A.R. Rahman,https://open.spotify.com/embed/track/6kFVtk3nAi0iaBOgE4qTHs?utm_source=generator,0.867,0.165,0.0772,0.672815042164546,0.276,energetic
105,Mad Manase,Tanishk Bagchi,https://open.spotify.com/embed/track/0HFAsQvlT6fPRiSFuWZNjf?utm_source=generator,0.789,0.142,0.107,0.8780356983223576,0.0765,energetic
106,Nuvvante Naaku,Anup Rubens,https://open.spotify.com/embed/track/2QIEUlVHYCmkapUzG9CB8O?utm_source=generator,0.912,0.325,0.0409,0.7883727167078877,0.153,energetic
107,Nee Kosame,R. P. Patnaik,https://open.spotify.com/embed/track/2kTDVnaGALMMFF1T1K2jPE?utm_source=generator,0.459,0.268,0.787,0.8624512053398492,0.0657,cheerful
108,Thats All Right Mama,Anup Rubens,https://open.spotify.com/embed/track/5wv3qE0s0Zuru2ZaqnkmNL?utm_source=generator,0.905,0.577,0.164,0.768825054381835,0.109,romantic
109,Sumam Pratisumam,Ilaiyaraaja,https://open.spotify.com/embed/track/1bELhJ2xNXfIeSZP3l85AJ?utm_source=generator,0.782,0.671,0.132,0.721505408385232,0.0349,romantic
110,Ninna Sandhya Velalo,Ilaiyaraaja,https://open.spotify.com/embed/track/4OYWpjM106IaKt24tZiLxc?utm_source=generator,0.531,0.979,0.135,0.8029142703894634,0.0313,Chill
111,Nee Choopule,G. V. Prakash,https://open.spotify.com/embed/track/2FPYJZygSLhD9RdPvEnBha?utm_source=generator,0.573,0.262,0.0976,0.7252599898685897,0.026,energetic
